_id,singkat,hasil
3380,taksuka,tidak suka
3381,taktau,tidak tau
3382,tanggalny,tanggalnya
3383,tanggane,tetangganya
3384,tangi,bangun
3385,tangkep,tangkap
3386,tangkiny,tangkinya
3387,tanguh,tangguh
3388,tangung,tanggung
3389,tanks,terimakasih
3390,tanye,tanya
3391,tar,nanti
3392,tasih,masih
3393,taudah,tau dah
3394,taudeh,tau dah
3395,taugak,tau tidak
3396,taun,tahun
3397,taunan,tahunan
3398,taunih,tau nih
3399,tauny,taunya
3400,td,tadi
3401,tdaftar,terdaftar
3402,tdak,tidak
3403,tdi,tadi
3404,tdiny,tadinya
3405,tdinya,tadinya
3406,tdk,tidak
3407,tebakar,terbakar
3408,tebel,tebal
3409,tebengkalai,terbengkalai
3410,tegoran,teguran
3411,tejual,terjual
3412,tekape,Tempat Kejadian Perkara
3413,tekok,tanya
3414,tekon,tanya
3415,telfon,telepon
3416,telimakacih,terimakasih
3417,telp,telepon
3418,telpon,telepon
3419,telu,tiga
3420,temn,teman
3421,tenks,terimakasih
3422,tenkyu,terimakasih
3423,tentuin,tentukan
3424,terbnyak,terbanyak
3425,tereak,teriak
3426,terpangang,terpanggang
3427,tetep,tetap
3428,teteup,tetap
3429,teu,tidak
3430,tga,tega
3431,tgah,tengah
3432,tgantung,tergantung
3433,tggal,tanggal
3434,tggalan,tanggalan
3435,tggi,tinggi
3436,tggl,tanggal
3437,tggu,tunggu
3438,tgihan,tagihan
3439,tgjawab,tanggungjawab
3440,tgkat,tingkat
3441,tgl,tanggal
3442,tgn,tangan
3443,tgs,tugas
3444,thanks,terimakasih
3445,thanx,terimakasih
3446,they,mereka
3447,thn,tahun
3448,thx,terimakasih
3449,tidor,tidur
3450,tiker,tikar
3451,time,waktu
3452,timnas,tim nasional
3453,tingal,tinggal
3454,tingalen,tinggalkan saja
3455,tingalin,tinggalkan
3456,tinggl,tinggal
3457,tingi,tinggi
3458,tjawab,terjawab
3459,tjd,terjadi
3460,tkejut,terkejut
3461,tkg,tukang
3462,tki,tenaga kerja Idonesia
3463,tkp,Tempat Kejadian Perkara
3464,tkpaham,tidak paham
3465,tkpe,Tempat Kejadian Perkara
3466,tks,terimakasih
3467,tku,beli
3468,tkut,takut
3469,tkutnya,takutnya
3470,tlah,telah
3471,tlanjur,terlanjur
3472,Tlf,telepon
3473,tlg,tolong
3474,tlh,telah
3475,tlng,tolong
3476,tlong,tolong
3477,tlor,telor
3478,tlp,telepon
3479,tlpn,telepon
3480,tlpnan,teleponan
3481,tman,teman
3482,tmbah,tambah
3483,tmben,tumben
3484,tmbh,tambah
3485,tmbhan,tambahan
3486,tmbhn,tambahan
3487,tmen,teman
3488,tmenan,berteman
3489,tmenya,temannya
3490,tmn,teman
3491,tmnin,temani
3492,tmnny,temannya
3493,tmnnya,temannya
3494,tmpat,tempat
3495,tmpat2,tempat-tempat
3496,tmpatny,tempatnya
3497,tmpt,tempat
3498,tmsk,termasuk
3499,tmt,tamat
3500,tmu,temu
3501,tmukn,temukan
3502,tnang,tenang
3503,tndk,tindak
3504,tndng,tanding
3505,tng,tenang
3506,tngah,tengah
3507,tngal,tinggal
3508,tngerang,tangerang
3509,tnggal,tinggal
3510,tnggi,tinggi
3511,tnggl,tinggal
3512,tnggu,tunggu
3513,tnggung,tanggung
3514,tngh,tengah
3515,tngi,tinggi
3516,tngkap,tangkap
3517,tngkrongan,tongkrongan
3518,tngl,tinggal
3519,tngn,tangan
3520,tngrng,tangerang
3521,tngu,tunggu
3522,tnp,tanpa
3523,tnpa,tanpa
3524,tntu,tentu
3525,tny,tanya
3526,tnya,tanya
3527,tnyaen,tanyakan
3528,tnye,tanya
3529,tnykan,tanyakan
3530,tnyt,ternyata
3531,to,untuk
3532,today,hari ini
3533,tonight,malam ini
3534,tp,tetapi
3535,tpi,tapi
3536,tpt,tepat
3537,tq,terimakasih
3538,trbaik,terbaik
3539,trbang,terbang
3540,trbaru,terbaru
3541,trbng,terbang
3542,trbntuk,terbentuk
3543,trbnyk,terbanyak
3544,trbuat,terbuat
3545,trcela,tercela
3546,tresno,suka
3547,trf,tarif
3548,trget,target
3549,trgntung,tergantung
3550,trguling,terguling
3551,trhambat,terhambat
3552,trhormat,terhormat
3553,trhrmat,terhormat
3554,triak,teriak
3555,trjd,terjadi
3556,trjual,terjual
3557,trkait,terkait
3558,trkenal,terkenal
3559,trkhir,terakhir
3560,trktir,traktir
3561,trlalu,terlalu
3562,trlanjur,terlanjur
3563,trlihat,terlihat
3564,trllu,terlalu
3565,trlu,terlalu
3566,trm,terima
3567,trmasuk,termasuk
3568,trminal,terminal
3569,trminat,terminat
3570,trmksi,terimakasih
3571,trmsk,termasuk
3572,trnsaksi,transaksi
3573,trnsksi,transaksi
3574,trnyata,ternyata
3575,trnyt,ternyata
3576,trptong,terpotong
3577,trpuji,terpuji
3578,trs,terus
3579,trserah,terserah
3580,trtentu,tertentu
3581,TRUE,benar
3582,trus,terus
3583,trust,terpercaya
3584,trutama,terutama
3585,truth,kebenaran
3586,try,mencoba
3587,trz,terus
3588,tsb,tersebut
3589,ttap,tetap
3590,ttapi,tetapi
3591,ttd,tanda tangan
3592,ttng,tentang
3593,ttpi,tetapi
3594,ttwa,tertawa
3595,tu,itu
3596,tuiter,twitter
3597,tuiteran,twitteran
3598,tuiterku,twitterku
3599,tuker,tukar
3600,tukeran,bertukar
3601,tukoke,belikan
3602,tukokne,belikan
3603,tukokno,belikan
3604,tukr,tukar
3605,tuku,beli
3606,tukuen,beli saja
3607,tungu,tunggu
3608,tungulah,tunggulah
3609,tunjukan,tunjukkan
3610,tunjukin,tunjukkan
3611,turu,tidur
3612,tv,televisi
3613,twet,tweet
3614,twit,tweet
3615,twiter,twitter
3616,twiteran,twitteran
3617,u,kamu
3618,u/,untuk
3619,ud,sudah
3620,uda,sudah
3621,udah,sudah
3622,Ude,sudah
3623,udeh,sudah
3624,udh,sudah
3625,uga,tidak
3626,ugak,tidak
3627,ujan,hujan
3628,uke,oke
3629,ulngn,ulangan
3630,ultah,ulang tahun
3631,ulth,ulang tahun
3632,uncle,paman
3633,unyu,lucu
3634,unyukan,lucukan
3635,utamain,utamakan
3636,utk,untuk
3637,vacation,liburan
3638,vidio,video
3639,w,saya
3640,wadh,aduh
3641,wadoh,aduh
3642,wadon,perempuan
3643,wadu,aduh
3644,waduh,aduh
3645,wae,saja
3646,wagub,wakil gubernur
3647,wait,tunggu
3648,walaupn,walaupun
3649,want,ingin
3650,wareg,kenyang
3651,warkop,warung kopi
3652,warteg,warung tegal
3653,wat,untuk
3654,web,situs
3655,website,situs
3656,wedok,perempuan
3657,wekday,weekday
3658,wekeend,akhir pekan
3659,wekend,akhir pekan
3660,wes,sudah
3661,what,apa
3662,when,kapan
3663,where,dimana
3664,while,ketika
3665,why,kenapa
3666,win,menang
3667,wis,sudah
3668,wkt,waktu
3669,wktu,waktu
3670,wktuny,waktunya
3671,wktunya,waktunya
3672,wnita,wanita
3673,woman,wanita
3674,women,wanita
3675,wonten,ada
3676,Wontene,yang ada
3677,words,kata
3678,work,bekerja
3679,world,dunia
3680,wrn,warna
3681,wrna,warna
3682,wtf,bangsat
3683,Wuedan,edan
3684,yaolo,Ya Allah
3685,yaoloh,Ya Allah
3686,Yaowoh,Ya Allah
3687,yaud,ya sudah
3688,Yauda,ya sudah
3689,yaudah,ya sudah
3690,Yaude,ya sudah
3691,yaudeh,ya sudah
3692,yaudh,ya sudah
3693,yawdah,ya sudah
3694,yawes,ya sudah
3695,yaweslah,ya sudahlah
3696,yawlloh,Ya Allah
3697,yawloh,Ya Allah
3698,Yawoh,Ya Allah
3699,Ydh,ya sudah
3700,year,tahun
3701,yearbok,buku tahunan
3702,yearbook,buku tahunan
3703,yegak,iya tidak
3704,yes,ya
3705,yg,yang
3706,yng,yang
3707,yo,ya
3708,yoi,ya
3709,you,kamu
3710,yowes,ya sudah
3711,yoweslah,ya sudahlah
3712,yowis,ya sudah
3713,yth,yang terhormat
3714,yudeh,ya sudah
3715,yudh,ya sudah
3716,ywd,ya sudah
3717,ywdah,ya sudah
3718,ywdh,ya sudah
3719,ywdhlh,ya sudahlah
3720,ywis,ya sudah
3721,rp,rupiah
